ProductId,ProductName,SalesVolume,Seasonality,CustomerType,Category,SubCategory,ActualPrice,DiscountedPrice
P001,Shampoo,500,All,Adults,Personal Care,Hair Care,10.99,9.99
P002,Conditioner,450,All,Adults,Personal Care,Hair Care,11.99,10.99
P003,Body Wash,400,All,Adults,Personal Care,Body Care,12.99,11.99
P004,Toothpaste,600,All,All,Personal Care,Oral Care,4.99,3.99
P005,Deodorant,550,All,Adults,Personal Care,Body Care,7.99,6.99
P006,Shaving Cream,350,All,Men,Personal Care,Shaving,5.99,4.99
P007,Lotion,420,Winter,Adults,Personal Care,Body Care,6.99,5.99
P008,Hair Gel,370,All,Men,Personal Care,Hair Care,8.99,7.99
P009,Face Wash,390,All,Adults,Personal Care,Face Care,6.99,5.99
P010,Shaving Razor,300,All,Men,Personal Care,Shaving,10.99,9.99
P011,Lip Balm,310,Winter,All,Personal Care,Face Care,3.99,2.99
P012,Hair Spray,320,All,Women,Personal Care,Hair Care,9.99,8.99
P013,Sunscreen,420,Summer,Adults,Personal Care,Sun Care,15.99,13.99
P014,Moisturizer,400,Winter,Adults,Personal Care,Face Care,12.99,10.99
P015,Hand Sanitizer,430,All,All,Personal Care,Hand Care,4.99,3.99
P016,Disinfectant Wipes,480,All,All,Household,Household Cleaners,7.99,6.99
P017,Shaving Blades,290,All,Men,Personal Care,Shaving,14.99,12.99
P018,Nail Polish,350,All,Women,Personal Care,Nails,8.99,7.99
P019,Foundation,330,All,Women,Personal Care,Makeup,18.99,16.99
P020,Eye Liner,300,All,Women,Personal Care,Makeup,9.99,8.99
P021,Mascara,310,All,Women,Personal Care,Makeup,12.99,10.99
P022,Blush,320,All,Women,Personal Care,Makeup,13.99,12.99
P023,Eyeshadow,280,All,Women,Personal Care,Makeup,11.99,10.99
P024,Face Mask,400,All,All,Personal Care,Face Care,14.99,12.99
P025,Hand Soap,440,All,All,Household,Hand Care,4.99,3.99
P026,Foot Cream,330,Winter,Adults,Personal Care,Foot Care,6.99,5.99
P027,Hair Mousse,340,All,Women,Personal Care,Hair Care,9.99,8.99
P028,Shower Gel,370,All,Adults,Personal Care,Body Care,7.99,6.99
P029,Bubble Bath,310,All,Kids,Personal Care,Body Care,6.99,5.99
P030,Bath Bomb,350,All,All,Personal Care,Bath Care,5.99,4.99
P031,Hair Color,380,All,Adults,Personal Care,Hair Care,14.99,12.99
P032,Nail Clipper,290,All,All,Personal Care,Nails,3.99,2.99
P033,Body Oil,300,All,Adults,Personal Care,Body Care,10.99,8.99
P034,Perfume,410,All,Adults,Personal Care,Fragrance,25.99,22.99
P035,Cologne,390,All,Men,Personal Care,Fragrance,27.99,24.99
P036,Aftershave,270,All,Men,Personal Care,Shaving,11.99,10.99
P037,Makeup Remover,360,All,Women,Personal Care,Face Care,6.99,5.99
P038,Foot Scrub,310,All,Adults,Personal Care,Foot Care,7.99,6.99
P039,Hair Conditioner,420,All,Adults,Personal Care,Hair Care,11.99,9.99
P040,Hair Serum,360,All,Women,Personal Care,Hair Care,13.99,11.99
P041,Whitening Toothpaste,410,All,All,Personal Care,Oral Care,6.99,5.99
P042,Toothbrush,600,All,All,Personal Care,Oral Care,3.99,2.99
P043,Electric Toothbrush,320,All,All,Personal Care,Oral Care,29.99,25.99
P044,Mouthwash,470,All,All,Personal Care,Oral Care,8.99,6.99
P045,Floss,340,All,All,Personal Care,Oral Care,4.99,3.99
P046,Hair Bands,290,All,Kids,Personal Care,Hair Care,3.99,2.99
P047,Bath Sponges,320,All,All,Personal Care,Bath Care,5.99,4.99
P048,Hair Curlers,370,All,Women,Personal Care,Hair Care,11.99,9.99
P049,Ear Swabs,350,All,All,Personal Care,Ear Care,3.99,2.99
P050,Hair Brush,390,All,All,Personal Care,Hair Care,7.99,6.99
P051,Face Cream,380,All,Adults,Personal Care,Face Care,12.99,10.99
P052,Eye Cream,370,All,Adults,Personal Care,Face Care,14.99,12.99
P053,Facial Serum,400,All,Adults,Personal Care,Face Care,16.99,14.99
P054,Bath Towels,420,All,All,Household,Household Linen,9.99,7.99
P055,Bath Mats,320,All,All,Household,Household Linen,7.99,6.99
P056,Shower Curtains,330,All,All,Household,Household Linen,14.99,12.99
P057,Hair Dye,390,All,Adults,Personal Care,Hair Care,14.99,11.99
P058,Body Lotion,450,All,Adults,Personal Care,Body Care,8.99,7.99
P059,Face Toner,370,All,Adults,Personal Care,Face Care,10.99,9.99
P060,Facial Wipes,430,All,All,Personal Care,Face Care,6.99,5.99
P061,Nose Strips,300,All,Adults,Personal Care,Face Care,6.99,5.99
P062,Foot Lotion,310,All,Adults,Personal Care,Foot Care,7.99,6.99
P063,Hand Cream,330,All,Adults,Personal Care,Hand Care,5.99,4.99
P064,Beard Oil,310,All,Men,Personal Care,Shaving,9.99,7.99
P065,Beard Balm,340,All,Men,Personal Care,Shaving,11.99,10.99
P066,Beard Comb,290,All,Men,Personal Care,Shaving,3.99,2.99
P067,Beard Trimmer,280,All,Men,Personal Care,Shaving,29.99,25.99
P068,Body Scrub,360,All,Adults,Personal Care,Body Care,11.99,10.99
P069,Hand Wash,400,All,All,Personal Care,Hand Care,5.99,4.99
P070,Shaving Brush,300,All,Men,Personal Care,Shaving,8.99,7.99
P071,Eye Drops,340,All,All,Personal Care,Eye Care,6.99,5.99
P072,Nail Polish Remover,320,All,Women,Personal Care,Nails,5.99,4.99
P073,Foot File,290,All,Adults,Personal Care,Foot Care,7.99,6.99
P074,Hair Comb,380,All,All,Personal Care,Hair Care,3.99,2.99
P075,Bath Powder,340,All,All,Personal Care,Bath Care,6.99,5.99
P076,Body Wash for Kids,320,All,Kids,Personal Care,Body Care,6.99,5.99
P077,Kids Shampoo,400,All,Kids,Personal Care,Hair Care,7.99,6.99
P078,Bath Toys,310,All,Kids,Personal Care,Bath Care,6.99,5.99
P079,Hair Clippers,330,All,All,Personal Care,Hair Care,24.99,19.99
P080,Shaving Gel,360,All,Men,Personal Care,Shaving,6.99,5.99
P081,Aftershave Balm,290,All,Men,Personal Care,Shaving,7.99,6.99
P082,Makeup Brushes,320,All,Women,Personal Care,Makeup,15.99,12.99
